tipo,codativo,isin,dtemissao,dtvencimento,ticker_comdinheiro
LFT ,210100,BRSTNCLF1QY0,15072011,3012016,LFT_15072011_03012016
LFT ,210100,BRSTNCLF1QV6,4092010,9072016,LFT_04092010_09072016
LFT ,210100,BRSTNCLF1QW4,10082010,3072017,LFT_10082010_03072017
LFT ,210100,BRSTNCLF1QX2,1072011,9072017,LFT_01072011_09072017
LFT ,210100,BRSTNCLF1QZ7,15072011,3012018,LFT_15072011_03012018
LFT ,210100,BRSTNCLF1R09,1112013,9012018,LFT_01112013_09012018
LFT ,210100,BRSTNCLF1R17,19072013,3012019,LFT_19072013_03012019
LFT ,210100,BRSTNCLF1R25,17012014,3012020,LFT_17012014_03012020
LFT ,210100,BRSTNCLF1R33,18072014,9012020,LFT_18072014_09012020
LFT ,210100,BRSTNCLF1R41,1092015,3012021,LFT_01092015_03012021
LFT ,210100,BRSTNCLF1R58,5082015,9012021,LFT_05082015_09012021
LFT ,210100,BRSTNCLF1R66,1082016,3012022,LFT_01082016_03012022
LTN ,100000,BRSTNCLTN715,1102014,4012016,LTN_01102014_04012016
LTN ,100000,BRSTNCLTN6W5,10052012,7012016,LTN_10052012_07012016
LTN ,100000,BRSTNCLTN749,7042014,10012016,LTN_07042014_10012016
LTN ,100000,BRSTNCLTN6X3,1112013,1012017,LTN_01112013_01012017
LTN ,100000,BRSTNCLTN7C5,15012016,4012017,LTN_15012016_04012017
LTN ,100000,BRSTNCLTN707,10042013,7012017,LTN_10042013_07012017
LTN ,100000,BRSTNCLTN780,7032015,10012017,LTN_07032015_10012017
LTN ,100000,BRSTNCLTN723,1102014,1012018,LTN_01102014_01012018
LTN ,100000,BRSTNCLTN7A9,1082016,4012018,LTN_01082016_04012018
LTN ,100000,BRSTNCLTN756,7042014,7012018,LTN_07042014_07012018
LTN ,100000,BRSTNCLTN764,1092015,1012019,LTN_01092015_01012019
LTN ,100000,BRSTNCLTN798,7032015,7012019,LTN_07032015_07012019
LTN ,100000,BRSTNCLTN7B7,1082016,1012020,LTN_01082016_01012020
NTN-B ,760199,BRSTNCNTB3F9,11102010,15082016,NTNB_11102010_15082016
NTN-B ,760199,BRSTNCNTB2W6,5092007,15052017,NTNB_05092007_15052017
NTN-B ,760199,BRSTNCNTB3X2,13102011,15082018,NTNB_13102011_15082018
NTN-B ,760199,BRSTNCNTB4N1,15012014,15052019,NTNB_15012014_15052019
NTN-B ,760199,BRSTNCNTB3A0,14012009,15082020,NTNB_14012009_15082020
NTN-B ,760199,BRSTNCNTB4T8,1062016,15052021,NTNB_01062016_15052021
NTN-B ,760199,BRSTNCNTB3Y0,13102011,15082022,NTNB_13102011_15082022
NTN-B ,760199,BRSTNCNTB4O9,15012014,15052023,NTNB_15012014_15052023
NTN-B ,760199,BRSTNCNTB096,15102003,15082024,NTNB_15102003_15082024
NTN-B ,760199,BRSTNCNTB4U6,6012016,15082026,NTNB_06012016_15082026
NTN-B ,760199,BRSTNCNTB3B8,2102010,15082030,NTNB_02102010_15082030
NTN-B ,760199,BRSTNCNTB0O7,3072006,15052035,NTNB_03072006_15052035
NTN-B ,760199,BRSTNCNTB3C6,2102010,15082040,NTNB_02102010_15082040
NTN-B ,760199,BRSTNCNTB0A6,15082004,15052045,NTNB_15082004_15052045
NTN-B ,760199,BRSTNCNTB3D4,2102010,15082050,NTNB_02102010_15082050
NTN-B ,760199,BRSTNCNTB4Q4,14012015,15052055,NTNB_14012015_15052055
NTN-F ,950199,BRSTNCNTF0G9,1052007,1012017,NTNF_01052007_01012017
NTN-F ,950199,BRSTNCNTF139,1062012,1012018,NTNF_01062012_01012018
NTN-F ,950199,BRSTNCNTF162,1042013,1012019,NTNF_01042013_01012019
NTN-F ,950199,BRSTNCNTF0N5,2052010,1012021,NTNF_02052010_01012021
NTN-F ,950199,BRSTNCNTF147,3092012,1012023,NTNF_03092012_01012023
NTN-F ,950199,BRSTNCNTF170,1102014,1012025,NTNF_01102014_01012025
NTN-F ,950199,BRSTNCNTF1P8,15012016,1012027,NTNF_15012016_01012027
NTN-B ,760198,BRSTNCNTB484,1112013,15052019,NTN _01112013_15052019
NTN-B ,760199,BRSTNCNTB4U6,1062016,15082026,NTNB_01062016_15082026
NTN-C ,770100,BRSTNCNTC0K4,1012001,1012031,NTNC_01012001_01012031
LFT,210100,BRSTNCLF1QW4,8102010,7032017,LFT_08102010_07032017
LFT,210100,BRSTNCLF1QX2,7012011,7092017,LFT_07012011_07092017
LFT,210100,BRSTNCLF1QZ7,15072011,1032018,LFT_15072011_01032018
LFT,210100,BRSTNCLF1R09,11012013,1092018,LFT_11012013_01092018
LFT,210100,BRSTNCLF1R17,19072013,1032019,LFT_19072013_01032019
LFT,210100,BRSTNCLF1R25,17012014,1032020,LFT_17012014_01032020
LFT,210100,BRSTNCLF1R33,18072014,1092020,LFT_18072014_01092020
LFT,210100,BRSTNCLF1R41,9012015,1032021,LFT_09012015_01032021
LFT,210100,BRSTNCLF1R58,8052015,1092021,LFT_08052015_01092021
LFT,210100,BRSTNCLF1R66,8012016,1032022,LFT_08012016_01032022
LFT,210100,BRSTNCLF1R74,8072016,1092022,LFT_08072016_01092022
LFT,210100,BRSTNCLF1R82,13012017,1032023,LFT_13012017_01032023
LTN,100000,BRSTNCLTN7C5,15012016,1042017,LTN_15012016_01042017
LTN,100000,BRSTNCLTN707,4102013,1072017,LTN_04102013_01072017
LTN,100000,BRSTNCLTN780,3072015,1102017,LTN_03072015_01102017
LTN,100000,BRSTNCLTN723,10012014,1012018,LTN_10012014_01012018
LTN,100000,BRSTNCLTN7A9,8012016,1042018,LTN_08012016_01042018
LTN,100000,BRSTNCLTN756,4072014,1072018,LTN_04072014_01072018
LTN,100000,BRSTNCLTN7E1,8072016,1102018,LTN_08072016_01102018
LTN,100000,BRSTNCLTN764,9012015,1012019,LTN_09012015_01012019
LTN,100000,BRSTNCLTN798,3072015,1072019,LTN_03072015_01072019
LTN,100000,BRSTNCLTN7B7,8012016,1012020,LTN_08012016_01012020
LTN,100000,BRSTNCLTN7F8,8072016,1072020,LTN_08072016_01072020
NTN-B,760199,BRSTNCNTB2W6,9052007,15052017,NTNB_09052007_15052017
NTN-B,760199,BRSTNCNTB3X2,13102011,15082018,NTNB_13102011_15082018
