00PESC0129CBLC    01292018011120180111
0120180111FESA4       0007590C00402320000000000000100216001290000402320 VIS000000025590000001             BRFESAACNPR5000CIA FERRO LIPN  EJ  N1  1              
0120180111FESA4       0007600C00402320000000000000100216001290000402320 VIS000000025590000001             BRFESAACNPR5000CIA FERRO LIPN  EJ  N1  1              
0120180111FESA4       0007610C00402320000000000000100216001290000402320 VIS000000025600000001             BRFESAACNPR5000CIA FERRO LIPN  EJ  N1  1              
0120180111FESA4       0007620C00402320000000000000300216001290000402320 VIS000000025600000001             BRFESAACNPR5000CIA FERRO LIPN  EJ  N1  1              
0120180111FESA4       0007620C00404772000000000000400216018290000013456 VIS000000025600000001             BRFESAACNPR5000CIA FERRO LIPN  EJ  N1C 1              
0120180111FESA4       0007910C00402320000000000000200216001290000402320 VIS000000025590000001             BRFESAACNPR5000CIA FERRO LIPN  EJ  N1  1              
0120180111FESA4       0007920C00402320000000000000100216001290000402320 VIS000000025590000001             BRFESAACNPR5000CIA FERRO LIPN  EJ  N1  1              
0120180111FESA4       0007930C00402320000000000000100216001290000402320 VIS000000025590000001             BRFESAACNPR5000CIA FERRO LIPN  EJ  N1  1              
0120180111FESA4       0007930C00404772000000000000100216018290000013456 VIS000000025590000001             BRFESAACNPR5000CIA FERRO LIPN  EJ  N1C 1              
0120180111FESA4       0007940C00404772000000000000500216018290000013456 VIS000000025590000001             BRFESAACNPR5000CIA FERRO LIPN  EJ  N1C 1              
0120180111PETRA57     0011410C00402443000000000020000216000000000000000 OPC000000000120000001 PETR4       BRPETRACNPR6000PETROLEO BRAPN   17,00  1              
0120180111PETRA57     0032140V00402320000000000002800216000000000000000 OPC000000000180000001 PETR4       BRPETRACNPR6000PETROLEO BRAPN   17,00  1              
0120180111PETRA57     0032140V00404772000000000007200216000000000000000 OPC000000000180000001 PETR4       BRPETRACNPR6000PETROLEO BRAPN   17,00  1              
0120180111PETRA57     0033550V00402320000000000003000216000000000000000 OPC000000000180000001 PETR4       BRPETRACNPR6000PETROLEO BRAPN   17,00  1              
0120180111PETRA57     0033560V00402320000000000007000216000000000000000 OPC000000000180000001 PETR4       BRPETRACNPR6000PETROLEO BRAPN   17,00  1              
0120180111PETRA57     0048490V00402320000000000012800216000000000000000 OPC000000000250000001 PETR4       BRPETRACNPR6000PETROLEO BRAPN   17,00  1              
0120180111PETRA57     0048490V00404772000000000007200216000000000000000 OPC000000000250000001 PETR4       BRPETRACNPR6000PETROLEO BRAPN   17,00  1              
0120180111PETRA57     0057150V00404772000000000002600216000000000000000 OPC000000000310000001 PETR4       BRPETRACNPR6000PETROLEO BRAPN   17,00  1              
0120180111PETRA57     0057160V00402320000000000006400216000000000000000 OPC000000000310000001 PETR4       BRPETRACNPR6000PETROLEO BRAPN   17,00  1              
0120180111PETRA57     0057160V00404772000000000001000216000000000000000 OPC000000000310000001 PETR4       BRPETRACNPR6000PETROLEO BRAPN   17,00  1              
0120180111PETRA57     0062000V00402443000000000020000216000000000000000 OPC000000000290000001 PETR4       BRPETRACNPR6000PETROLEO BRAPN   17,00  1              
0120180111PETRA67     0004510C00402320000000000017600216000000000000000 OPC000000000160000001 PETR4       BRPETRACNPR6000PETROLEO BRAPN   17,25  1              
0120180111PETRA67     0004520C00402320000000000001400216000000000000000 OPC000000000160000001 PETR4       BRPETRACNPR6000PETROLEO BRAPN   17,25  1              
0120180111PETRA67     0004520C00404772000000000011000216000000000000000 OPC000000000160000001 PETR4       BRPETRACNPR6000PETROLEO BRAPN   17,25  1              
99PESC0129CBLC    012920180111000000026
