00NEGS0129SINACOR 01292018011620180116                                                                                                                                                                  
010000150CPETRB78     OPCNORPETROLEO BRAPN   18,75000000043000000000002700045    10:55 PETR4       00000000BRPETRACNPR6000000000100000000000         00000             11001017100000000              1 N
010085550VBBDC4       VISNORBCO BRADESCOPN      N1000000001000000000360900045    14:38             00000000BRBBDCACNPR8000000000100000000000         00000             11003017100000000              1 N
010085560VBBDC4       VISNORBCO BRADESCOPN      N1000000032000000000360900008    14:38             00000000BRBBDCACNPR8000000000100000000000         00000             11003017100000000              1 N
010147640CBBDC4       VISNORBCO BRADESCOPN      N1000000009000000000359900003    17:12             00000000BRBBDCACNPR8000000000100000000000         00000             11003017100000000              1 N
010309280VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100003    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309290VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309340VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100016    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309370VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100016    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309540VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100016    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309580VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309690VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010121450CCSNA3       VISNORCIA SIDERURGON        000000010000000000106100045    17:22             00000000BRCSNAACNOR6000000000100000000000         00000             11003017100000000              1 N
010069350VPETRB69     OPCNORPETROLEO BRAPN   19,00000000005000000000002500308    17:03 PETR4       00000000BRPETRACNPR6000000000100000000000         00000             11001017100000000              1 N
010309260VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309420VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309460VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309620VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010337710CPETR4       VISNORPETROLEO BRAPN        000000003000000000176200008    17:20             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010020160CPETRB69     OPCNORPETROLEO BRAPN   19,00000000250000000000002700129    11:57 PETR4       00000000BRPETRACNPR6000000000100000000000         00000             11001017100000000              1 N
010147590CBBDC4       VISNORBCO BRADESCOPN      N1000000028000000000359900008    17:12             00000000BRBBDCACNPR8000000000100000000000         00000             11003017100000000              1 N
010121430CCSNA3       VISNORCIA SIDERURGON        000000001000000000106100238    17:22             00000000BRCSNAACNOR6000000000100000000000         00000             11003017100000000              1 N
010309270VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309320VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309480VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309520VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309600VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100016    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010309640VPETR4       VISNORPETROLEO BRAPN        000000001000000000177100045    17:00             00000000BRPETRACNPR6000000000100000000000         00000             11003017100000000              1 N
010085540VBBDC4       VISNORBCO BRADESCOPN      N1000000001000000000360900120    14:38             00000000BRBBDCACNPR8000000000100000000000         00000             11003017100000000              1 N
